id;score_channel;is_show_channel;channel_id;category_id;comment
810;50;true;55;48;comment
820;55;true;65;48;comment
1000;150;true;75;96;comment
1350;150;true;75;66;comment
1550;150;true;75;19;comment
2000;50;true;2000;48;comment
2001;60;true;2001;48;comment
2002;10;true;2002;48;comment
2003;70;true;2003;48;comment
2004;10;true;2004;48;comment
2005;30;true;2005;48;comment
2006;130;true;2006;48;comment
2007;200;true;2007;48;comment
2008;210;true;2008;48;comment
2009;230;true;2009;48;comment
2010;240;true;2010;48;comment
2011;110;true;2011;48;comment
2012;140;true;2012;48;comment
2013;120;true;2013;48;comment
2014;160;true;2014;48;comment
2015;250;true;2015;48;comment
2016;300;true;2016;48;comment
2017;310;true;2017;48;comment
2018;460;true;2018;48;comment
2019;480;true;2019;48;comment
2020;110;true;2020;48;comment
2021;60;true;2021;48;comment
2022;150;true;2022;48;comment
2023;330;true;2023;48;comment
2024;120;true;2024;48;comment
2025;250;true;2025;48;comment
2026;160;true;2026;48;comment
2027;270;true;2027;48;comment
2028;380;true;2028;48;comment
2029;180;true;2029;48;comment
2030;290;true;2030;48;comment
2031;320;true;2031;48;comment
2032;200;true;2032;48;comment
2033;310;true;2033;48;comment
2034;340;true;2034;48;comment
2035;350;true;2035;48;comment
2036;360;true;2036;48;comment
2037;370;true;2037;48;comment
2038;380;true;2038;48;comment
2039;390;true;2039;48;comment
2040;300;true;2040;48;comment
2041;200;true;2041;48;comment
2042;40;true;2063;97;comment
2043;40;true;2063;65;comment
2044;50;true;2044;66;comment
2045;200;true;2064;48;comment
2046;210;true;2065;48;comment
2047;30;true;2041;66;comment
2048;20;true;2042;66;comment
2049;80;true;2043;66;comment
2050;50;true;2045;66;comment
2051;90;true;2046;66;comment
2052;200;true;2047;66;comment
2053;100;true;2048;66;comment
2054;120;true;2049;66;comment
2055;100;true;2050;66;comment
2056;130;true;2051;66;comment
2057;150;true;2052;66;comment
2058;200;true;2053;66;comment
2059;150;true;2054;66;comment
2060;80;true;2055;66;comment
2061;50;true;2056;66;comment
2062;180;true;2057;66;comment
2063;200;true;2058;66;comment
2064;120;true;2059;66;comment
2065;230;true;2060;66;comment
2066;350;true;2061;66;comment
2067;350;true;2062;48;comment
2068;50;true;2066;48;comment
2069;90;true;2067;48;comment
2070;10;true;2068;66;comment
2071;240;true;2069;48;comment
2072;180;true;2070;48;comment
2073;170;true;2071;48;comment
2074;100;true;2072;48;comment
2075;110;true;2073;48;comment
2076;250;true;2074;48;comment
2077;100;true;2075;48;comment
2078;160;true;2076;48;comment
2079;250;true;2077;48;comment
2080;120;true;2078;48;comment
2081;190;true;2079;48;comment
